predicate;object;subject;definition
synergistic interaction;drug;drug;When two drugs interact in a way that their combined effect is greater than the sum of their individual effects.
expression present;anatomy;gene/protein;The process in which a gene's sequence is converted into a mature gene product (protein or RNA). This includes the production of an RNA transcript and its processing, as well as translation and maturation for protein-coding genes.
ppi;gene/protein;gene/protein;Temporary, non-covalent binding between protein molecules. Protein-protein interactions occur as a result of intermolecular physical forces and spatial complementation between domains or motifs. This interaction can be either homotypic or heterotypic and effect protein structure, conformation, and function.
phenotype present;disease;effect/phenotype;"phenotype is ""The assemblage of traits or outward appearance of an individual. It is the product of interactions between genes and between genes and the environment."" phenotype present means a specific phenotype is observed"
interacts with;biological_process;gene/protein;Gene/protein participates in a biological process.   (interactions like up/down regulates, is involved in)
parent-child;biological_process;biological_process;"""is a "" relation: Indicates that one entity is a subtype or specific instance of another."
interacts with;cellular_component;gene/protein;A gene/protein is located in a cellular component // Gene/protein is located in or interacts with a cellular component.
associated with;disease;gene/protein;Suggests a relationship or correlation between a gene/protein and a disease.
interacts with;gene/protein;molecular_function;A gene/protein has a specific molecular function
side effect;drug;effect/phenotype;The term was used in various ways in the past, to describe unintended effects of medical intervention, usually negative (unfavourable), but also positive (favourable) ones. It is recommended that this term no longer be used and particularly should not be regarded as synonymous with adverse event or adverse reaction.
parent-child;disease;disease;"""is a "" relation: Indicates that one entity is a subtype or specific instance of another."
interacts with;gene/protein;pathway;The gene or protein participates in the pathway.
parent-child;effect/phenotype;effect/phenotype;"""is a "" relation: Indicates that one entity is a subtype or specific instance of another."
contraindication;disease;drug;"A symptom or medical condition that makes a particular treatment or procedure inadvisable because a person is likely to have a bad reaction.[NCIT]
'A contraindication is a disposition that increases the risk of harm involved in using a particular drug, carrying out a medical procedure, or engaging in a particular activity such that the risk of harm exceeds a threshold. An contraindication serves as a reason to withhold a certain medical treatment.[OAE]"
parent-child;anatomy;anatomy;"""is a "" relation: Indicates that one entity is a subtype or specific instance of another."
parent-child;molecular_function;molecular_function;"""is a "" relation: Indicates that one entity is a subtype or specific instance of another."
expression absent;anatomy;gene/protein;a negative regulation process that inhibits gene expression level [INO]
target;drug;gene/protein;A molecule (often a protein) that a drug interacts with to exert its pharmacological effect.[GPT-4] A material entity, such as native (gene product) protein, protein complex, microorganism, DNA , etc., that physically interacts with a therapeutic or prophylactic drug (with some binding affinity) and where this physical interaction is (at least partially) the cause of a (detectable) clinical effect. [source: DTO]
parent-child;cellular_component;cellular_component;"""is a "" relation: Indicates that one entity is a subtype or specific instance of another."
indication;disease;drug;Description or common names of diseases that the drug is used to treat. [source: MI]
enzyme;drug;gene/protein;"Gene/protein encodes an enzyme that metabolizes the drug. [BARD] 
Drug Metabolism: A series of chemical modifications of a drug compound by enzymatic activity that make the substrate (drug) more water soluble to allow its clearance from the body. Drug metabolism occurs in two phases: Phase I (biotransformation) involves oxidation, hydroxylation reduction, and hydrolysis. Phase II (conjugation) involves synthesis and conjugation. [source NCIT]"
parent-child;pathway;pathway;"""is a "" relation: Indicates that one entity is a subtype or specific instance of another."
parent-child;exposure;exposure;"""is a "" relation: Indicates that one entity is a subtype or specific instance of another."
associated with;effect/phenotype;gene/protein;Suggests a relationship or correlation between a gene/protein and a phenotype.
transporter;drug;gene/protein;"Integral membrane proteins that transport molecules or ions into or out of the cell or compartment. [source:SAO]
A protein that is involved in the directed movement of substances into, out of, within or between cells.[source:EVS]
 ""transport protein"" is an umbrella term for e.g. carrier proteins, channel proteins and protein pumps"
off-label use;disease;drug;The use of an FDA-approved device, drug, or treatment for a purpose other than that for which it was approved. [Definition Source: NCI]
linked to;disease;exposure;Suggests a relationship or correlation between an exposure and a disease.
interacts with;biological_process;exposure;The biological process is affected/caused by the exposure.
interacts with;exposure;gene/protein;The exposure affects/causes a change in the gene or protein.
phenotype absent;disease;effect/phenotype;Indicates that a specific phenotype is not observed in the context of a disease.
carrier;drug;gene/protein;Proteins that bind or transport specific substances in the blood, within the cell, or across cell membranes. [MeSH]
interacts with;exposure;molecular_function;A gene/protein has a specific molecular function
interacts with;cellular_component;exposure;The cellular component is affected by the exposure.
